Data de Abertura;preço de abertura;preço em alta;preço em baixa;preço de fechamento
Nov 25, 2021;51,243.25;51,936.24;51,075.65;51,473.20
Nov 24, 2021;-;-;-;-
Nov 23, 2021;50,085.21;51,445.26;49,416.91;51,188.46
Nov 22, 2021;52,066.11;52,559.13;49,562.80;50,071.63
Nov 21, 2021;52,919.26;53,161.94;51,934.44;52,087.06
Nov 20, 2021;51,488.04;53,033.88;50,916.28;52,889.75
Nov 19, 2021;50,046.06;51,562.84;49,053.82;51,492.03
Nov 18, 2021;53,332.04;53,811.98;49,726.47;50,086.53
Nov 17, 2021;53,127.34;53,709.93;51,727.15;53,339.00
Nov 16, 2021;56,058.09;56,058.09;51,952.14;53,146.45
Nov 15, 2021;57,267.25;57,891.78;55,891.99;55,914.40
Nov 14, 2021;56,323.17;57,244.43;55,581.09;57,219.66
Nov 13, 2021;56,063.42;56,725.39;55,316.83;56,335.54
Nov 12, 2021;56,661.15;57,222.57;54,445.74;56,061.52
Nov 11, 2021;56,574.20;57,220.97;55,921.49;56,736.26
Nov 10, 2021;57,747.79;59,496.15;55,065.33;56,588.42
Nov 09, 2021;58,290.29;59,153.06;57,269.13;57,763.74
Nov 08, 2021;54,756.70;58,408.39;54,756.70;58,305.04
Nov 07, 2021;53,287.36;54,741.94;53,181.37;54,741.94
Nov 06, 2021;52,866.59;53,318.32;52,083.06;53,263.60
Nov 05, 2021;53,187.43;54,139.52;52,592.56;52,915.76
Nov 04, 2021;54,190.31;54,351.23;52,647.95;53,180.64
Nov 03, 2021;54,627.90;54,845.92;52,820.17;54,214.63
Nov 02, 2021;52,556.48;55,465.69;52,312.25;54,603.77
Nov 01, 2021;53,061.87;53,961.04;51,686.60;52,591.96
Oct 31, 2021;53,498.82;53,979.46;51,994.21;53,060.58
Oct 30, 2021;53,835.18;53,913.71;52,692.57;53,531.98
Oct 29, 2021;51,894.65;54,532.00;51,632.07;53,825.32
Oct 28, 2021;50,411.88;53,186.02;49,810.28;51,892.30
Oct 27, 2021;52,043.28;52,939.00;50,162.48;50,421.94
Oct 26, 2021;54,297.37;54,507.09;51,741.36;52,053.45
Oct 25, 2021;52,316.29;54,906.25;52,119.69;54,303.45
Oct 24, 2021;52,712.89;52,830.96;51,231.19;52,348.00
Oct 23, 2021;52,125.03;53,026.14;51,379.50;52,734.60
Oct 22, 2021;53,539.59;54,746.94;51,720.34;52,123.00
Oct 21, 2021;56,642.13;57,214.13;53,432.03;53,515.74
Oct 20, 2021;55,258.20;57,457.26;54,619.56;56,634.06
Oct 19, 2021;53,423.38;55,387.93;52,881.78;55,238.77
Oct 18, 2021;53,075.20;54,052.42;51,725.23;53,408.67
Oct 17, 2021;52,490.70;53,143.31;51,034.91;53,079.35
Oct 16, 2021;53,113.02;53,686.27;51,903.15;52,494.60
Oct 15, 2021;49,476.84;54,100.47;49,035.86;53,099.59
Oct 14, 2021;49,473.00;50,443.35;49,136.93;49,455.81
Oct 13, 2021;48,599.46;49,756.47;47,064.28;49,497.37
Oct 12, 2021;49,792.35;49,838.78;47,242.48;48,601.89
Oct 11, 2021;47,324.82;50,008.03;47,119.63;49,755.96
Oct 10, 2021;47,494.95;48,723.90;46,899.84;47,357.21
Oct 09, 2021;46,615.77;47,879.67;46,447.53;47,508.27
Oct 08, 2021;46,543.64;48,419.52;46,490.47;46,648.67
Oct 07, 2021;47,891.10;47,891.10;46,308.52;46,546.96
Oct 06, 2021;44,400.92;48,092.62;43,739.54;47,910.85
Oct 05, 2021;42,332.71;44,701.36;42,237.53;44,425.19
Oct 04, 2021;41,535.25;42,535.84;40,473.24;42,279.28
Oct 03, 2021;41,124.93;42,376.16;40,674.05;41,527.54
Oct 02, 2021;41,519.48;41,644.20;40,939.89;41,152.06
Oct 01, 2021;37,858.23;41,776.98;37,424.38;41,501.78
Sep 30, 2021;35,817.48;38,067.21;35,731.65;37,835.90
Sep 29, 2021;35,139.88;36,501.92;34,946.44;35,828.77
Sep 28, 2021;36,082.23;36,578.74;35,026.08;35,113.84
Sep 27, 2021;36,880.71;37,793.00;36,074.26;36,112.02
Sep 26, 2021;36,451.59;37,477.66;34,853.34;36,858.83
Sep 25, 2021;36,551.93;36,685.91;35,631.03;36,447.29
Sep 24, 2021;38,240.20;38,415.48;34,920.03;36,550.96
Sep 23, 2021;37,271.32;38,274.55;36,877.67;38,240.88
Sep 22, 2021;34,699.55;37,449.11;34,668.09;37,283.48
Sep 21, 2021;36,678.13;37,162.19;33,926.78;34,712.97
Sep 20, 2021;40,293.14;40,359.64;36,324.09;36,534.50
Sep 19, 2021;41,164.31;41,215.06;40,012.70;40,292.13
Sep 18, 2021;40,317.70;41,610.27;40,158.86;41,172.42
Sep 17, 2021;40,604.78;40,904.46;39,936.25;40,312.58
Sep 16, 2021;40,747.39;41,129.88;40,008.63;40,615.28
Sep 15, 2021;39,904.96;40,996.85;39,622.34;40,762.15
Sep 14, 2021;38,070.78;39,998.47;37,895.51;39,900.29
Sep 13, 2021;38,991.90;39,505.15;36,921.59;38,073.34
Sep 12, 2021;38,263.03;39,252.55;37,910.78;38,997.03
Sep 11, 2021;37,990.84;38,908.55;37,934.32;38,258.65
Sep 10, 2021;39,237.66;39,785.89;37,539.69;38,002.76
Sep 09, 2021;38,729.96;39,943.25;38,623.81;39,233.23
Sep 08, 2021;39,535.46;39,952.78;37,696.31;38,997.88
Sep 07, 2021;44,351.76;44,487.54;36,544.40;39,521.42
Sep 06, 2021;43,556.63;44,384.73;43,032.13;44,329.07
Sep 05, 2021;42,022.86;43,661.29;41,686.88;43,543.51
Sep 04, 2021;42,098.75;42,534.26;41,695.45;42,028.55
Sep 03, 2021;41,509.88;42,880.88;40,727.29;42,112.26
Sep 02, 2021;41,217.64;42,469.41;41,072.39;41,543.12
Sep 01, 2021;39,881.12;41,465.33;39,451.47;41,250.73
Aug 31, 2021;39,862.63;40,754.29;39,624.82;39,937.78
Aug 30, 2021;41,390.71;41,472.91;39,799.18;39,888.61
Aug 29, 2021;41,466.37;42,087.68;40,630.96;41,386.46
Aug 28, 2021;41,603.15;41,781.96;41,117.07;41,458.87
Aug 27, 2021;39,898.36;41,637.23;39,487.52;41,591.35
Aug 26, 2021;41,624.66;41,936.71;39,431.36;39,938.91
Aug 25, 2021;40,609.26;41,798.48;40,132.56;41,589.11
Aug 24, 2021;42,201.10;42,483.45;40,572.20;40,591.28
Aug 23, 2021;42,140.44;43,068.28;41,784.33;42,187.30
Aug 22, 2021;41,779.18;42,299.71;41,207.09;42,166.07
Aug 21, 2021;42,158.07;42,504.07;41,303.06;41,810.28
Aug 20, 2021;40,016.39;42,170.96;39,941.08;42,168.42
Aug 19, 2021;38,231.40;40,219.84;37,677.21;40,011.64
Aug 18, 2021;38,163.16;39,276.84;37,875.08;38,282.08
